kaydasheva_s000001|якраз стільки, скільки треба було на дві душі. Вона задумала й вечеряти з Карпом окремо.|якраз стільки, скільки треба було на дві душі. Вона задумала й вечеряти з Карпом окремо.
kaydasheva_s000511|Візьми ж, Мелашко, паляницю батькові, а дітям я передам гостинця; ось бач, яка паляниця!|Візьми ж, Мелашко, паляницю батькові, а дітям я передам гостинця; ось бач, яка паляниця!
kaydasheva_s000512|Вже вони минули село. Хат було видно дуже мало. Дорога спускалась з крутої гори в глибокий яр. У яру подекуди біліли вбогі хати, неначе білі вівці.|Вже вони минули село. Хат було видно дуже мало. Дорога спускалась з крутої гори в глибокий яр. У яру подекуди біліли вбогі хати, неначе білі вівці.
kaydasheva_s000513|Наступав храм в семигорській церкві, і молодиці на селі почали мазати хати. Мотря якраз того дня полізла в піч, щоб її вимазать.|Наступав храм в семигорській церкві, і молодиці на селі почали мазати хати. Мотря якраз того дня полізла в піч, щоб її вимазать.
kaydasheva_s000514|Верни, лишень, мені яйця, бо моя чорна курка вже давно несеться на твоєму горищі.|Верни, лишень, мені яйця, бо моя чорна курка вже давно несеться на твоєму горищі.
kaydasheva_s000515|Такий несподіваний випадок зав'язав рота свекрусі й невістці. Вони обидві кинулись до роботи, але Мотря не вимітала хати та все поглядала скоса на свекруху.|Такий несподіваний випадок зав'язав рота свекрусі й невістці. Вони обидві кинулись до роботи, але Мотря не вимітала хати та все поглядала скоса на свекруху.
kaydasheva_s000516|Народ ворушився, гомонів, розпитував. Цікаві молодиці обступили Мелашку, її матір та свекруху.|Народ ворушився, гомонів, розпитував. Цікаві молодиці обступили Мелашку, її матір та свекруху.
kaydasheva_s000517|Мотре! Вставай, моя дитино, затопи в печі, та як будеш розкладать дрова, то поклади на двох полінах переклад, та вибирай, моє серденько, товстенький переклад,|Мотре! Вставай, моя дитино, затопи в печі, та як будеш розкладать дрова, то поклади на двох полінах переклад, та вибирай, моє серденько, товстенький переклад,
kaydasheva_s000518|Діло з грушею скінчилось несподівано. Груша всохла, і дві сім’ї помирились. В обох садибах настала мирнота й тиша.|Діло з грушею скінчилось несподівано. Груша всохла, і дві сімї помирились. В обох садибах настала мирнота й тиша.
kaydasheva_s000519|Та, здається, куме, і ти сам котився з тієї гори з своєю Ганною, вертаючись з хрестин? — обізвався з кутка чоловік.|Та, здається, куме, і ти сам котився з тієї гори з своєю Ганною, вертаючись з хрестин? - обізвався з кутка чоловік.
kaydasheva_s000520|Нема, бач, мені діла. Ніби я сиджу, згорнувши руки, — обізвався чоловік, — а воно було б дуже добре розкопать возвіз, та ще там трошки навскоси.|Нема, бач, мені діла. Ніби я сиджу, згорнувши руки, - обізвався чоловік, - а воно було б дуже добре розкопать возвіз, та ще там трошки навскоси.
kaydasheva_s000521|Кайдашиха прийшла додому з священиком, з ними прийшов і дяк з паламарем.|Кайдашиха прийшла додому з священиком, з ними прийшов і дяк з паламарем.
kaydasheva_s000522|В неділю Кайдаш з Кайдашихою збирались їхати в Бієвці на розглядини до Балаша. Лаврін, веселий та щасливий, запрягав воли.|В неділю Кайдаш з Кайдашихою збирались їхати в Бієвці на розглядини до Балаша. Лаврін, веселий та щасливий, запрягав воли.
kaydasheva_s000523|Сторож брязнув ключами, одмикаючи важкий здоровий замок. Кайдаш кинувся, аж затрусився.|Сторож брязнув ключами, одмикаючи важкий здоровий замок. Кайдаш кинувся, аж затрусився.
kaydasheva_s000524|Надворі починало вечоріти. Лаврін виніс на віз мішки і почав запрягати воли.|Надворі починало вечоріти. Лаврін виніс на віз мішки і почав запрягати воли.
kaydasheva_s000525|То й заплатите! Хіба в нас волості нема, — говорила Мотря. — Не було, пак, вам на городі місця для огірків: насадили під самим перелазом. Карпе, чи ти бачиш, що то таке?|То й заплатите! Хіба в нас волості нема, - говорила Мотря. - Не було, пак, вам на городі місця для огірків: насадили під самим перелазом. Карпе, чи ти бачиш, що то таке?
kaydasheva_s000526|То й піду! Ти думаєш, я тебе боюся? То й піду. Піди вперше вберися в жовті чоботи та в червоне намисто, пані економшо, коли хочеш вести мене позивати в волость.|То й піду! Ти думаєш, я тебе боюся? То й піду. Піди вперше вберися в жовті чоботи та в червоне намисто, пані економшо, коли хочеш вести мене позивати в волость.
kaydasheva_s000527|Як! Чи то можна! За свого паршивого кабана вони сміли взяти нашого коня? — кричала дорогою Мотря.|Як! Чи то можна! За свого паршивого кабана вони сміли взяти нашого коня? - кричала дорогою Мотря.
kaydasheva_s000528|Люди пили, закусували та слухали Берка, а Берко неначе грав їм на цимбалах своїми облесливими словами.|Люди пили, закусували та слухали Берка, а Берко неначе грав їм на цимбалах своїми облесливими словами.
kaydasheva_s000529|Чого це ти, Мотре, сіла шити? Хіба ти не бачиш, що в печі обід недоварений, а хата стоїть і досі неметена?|Чого це ти, Мотре, сіла шити? Хіба ти не бачиш, що в печі обід недоварений, а хата стоїть і досі неметена?
kaydasheva_s000530|Лаврін прикрив Мелашчині плечі своєю свитою і обняв її за стан.|Лаврін прикрив Мелашчині плечі своєю свитою і обняв її за стан.
kaydasheva_s000531|А що, Мотре, виграла? Здобрій тим, що тобі волость присудила, — дражнилась стара Кайдашиха з Мотрею.|А що, Мотре, виграла? Здобрій тим, що тобі волость присудила, - дражнилась стара Кайдашиха з Мотрею.
kaydasheva_s000532|Та покинь отого глиняника! — сказав Карпо і хотів однять од неї драного горшка.|Та покинь отого глиняника! - сказав Карпо і хотів однять од неї драного горшка.
kaydasheva_s000533|То я тебе проведу, — сказав Лаврін. І вони обоє знялися з каменя й пішли між житами на гору. Лаврін провів Мелашку до села. Вже було видно хати. Треба було прощатися.|То я тебе проведу, - сказав Лаврін. І вони обоє знялися з каменя й пішли між житами на гору. Лаврін провів Мелашку до села. Вже було видно хати. Треба було прощатися.
kaydasheva_s000534|Йому все здавалось, що його карає свята п'ятниця за те, що він не додержував посту в п'ятницю і ввечері в шинку напивався горілки.|Йому все здавалось, що його карає свята п'ятниця за те, що він не додержував посту в п'ятницю і ввечері в шинку напивався горілки.
kaydasheva_s000535|Маленькі віконця ледве блищали.|Маленькі віконця ледве блищали.
kaydasheva_s000536|невісточко, свята покрівонько, що в лаврі замурувалась.|невісточко, свята покрівонько, що в лаврі замурувалась.
kaydasheva_s000537|Мелашка розлютувалась за своїх дітей, як вовчиця, кинулась до Мотрі й трохи не здерла із неї очіпка. Карпо і Лаврін пішли до священика. Священик раяв їм зробити так само,|Мелашка розлютувалась за своїх дітей, як вовчиця, кинулась до Мотрі й трохи не здерла із неї очіпка. Карпо і Лаврін пішли до священика. Священик раяв їм зробити так само,
kaydasheva_s000538|Карпе! — промовив Лаврін. — А кого ти будеш оце сватать? Адже ж оце перед Семеном тебе батько, мабуть, оженить.|Карпе! - промовив Лаврін. - А кого ти будеш оце сватать? Адже ж оце перед Семеном тебе батько, мабуть, оженить.
kaydasheva_s000539|Мотря мовчала. А для неї, молодої, так хотілось зав'язать на празник голову розкішною червоною хусткою. Вона тільки легко зітхнула.|Мотря мовчала. А для неї, молодої, так хотілось зав'язать на празник голову розкішною червоною хусткою. Вона тільки легко зітхнула.
kaydasheva_s000540|Мотря була сердита, що вийшло не так, як вона хотіла. Вона причепилась до Лавріна за батьківську спадщину.|Мотря була сердита, що вийшло не так, як вона хотіла. Вона причепилась до Лавріна за батьківську спадщину.
kaydasheva_s000541|Кайдаш плюнув і знов пішов у повітку стругать вісь. Хлопці трохи помовчали, але перегодя знов почали балакати спершу тихо, а далі все голосніше, а потім зовсім голосно.|Кайдаш плюнув і знов пішов у повітку стругать вісь. Хлопці трохи помовчали, але перегодя знов почали балакати спершу тихо, а далі все голосніше, а потім зовсім голосно.
kaydasheva_s000542|Сини пополуднували й пішли знов до роботи, а старий Кайдаш все працював. Вже сонце низько спустилось над лісом, а він і не думав полуднувать.|Сини пополуднували й пішли знов до роботи, а старий Кайдаш все працював. Вже сонце низько спустилось над лісом, а він і не думав полуднувать.
kaydasheva_s000543|Чи це йдеш на поле, не питаючись мене? — спитав Лавріна батько.|Чи це йдеш на поле, не питаючись мене? - спитав Лавріна батько.
kaydasheva_s000544|Тільки Кайдашиха не ходила до Мотрі: сліпе око навіки загородило їй стежку до неї. На Кайдашевій давній оселі повіяло миром. Щоб не бігати кругом через ворота,|Тільки Кайдашиха не ходила до Мотрі: сліпе око навіки загородило їй стежку до неї. На Кайдашевій давній оселі повіяло миром. Щоб не бігати кругом через ворота,
kaydasheva_s000545|Мелашка посадила огірки коло самого тину. Огірки зійшли, як зелене руно. Показались ранні огірочки. Мотрин півень перескочив через тин та давай вибирати Мелашчині огірки.|Мелашка посадила огірки коло самого тину. Огірки зійшли, як зелене руно. Показались ранні огірочки. Мотрин півень перескочив через тин та давай вибирати Мелашчині огірки.
kaydasheva_s000546|Та то, моє серденько, моя невістка незугарна тобі ні спекти, ні зварити, ні прясти, ні шити. Оце як сама не догляну, то напартолить такого борщу, що й собаки не їдять;|Та то, моє серденько, моя невістка незугарна тобі ні спекти, ні зварити, ні прясти, ні шити. Оце як сама не догляну, то напартолить такого борщу, що й собаки не їдять;
kaydasheva_s000547|Лаврін трохи прохолов, зірвавши півсотні куликів, і зліз додолу. Волосний з писарем пішли в хату: в Лавріновій і в Карповій хаті валялись купами черепки.|Лаврін трохи прохолов, зірвавши півсотні куликів, і зліз додолу. Волосний з писарем пішли в хату: в Лавріновій і в Карповій хаті валялись купами черепки.
kaydasheva_s000548|Чом же це ти не підвела перше припічка, та заходилась коло призьби? — говорила мати, ввійшовши в хату.|Чом же це ти не підвела перше припічка, та заходилась коло призьби? - говорила мати, ввійшовши в хату.
kaydasheva_s000549|На другий день Кайдаш пішов до священика, висповідався, але все те нічого не помогло. До його внадився херсонський чумак, приходив до його вночі та все неначе водив його десь по пущах та по нетрях.|На другий день Кайдаш пішов до священика, висповідався, але все те нічого не помогло. До його внадився херсонський чумак, приходив до його вночі та все неначе водив його десь по пущах та по нетрях.
kaydasheva_s000550|а Карпо доказував, що груша його, бо росте в його городі.|а Карпо доказував, що груша його, бо росте в його городі.
kaydasheva_s000551|Або хоч і так, приміром, навскоси од твого тину, де стоїть стара груша, та до чагарника, — сказав кум і махнув пальцем навскоси на другий бік. — От і вози були б цілі.|Або хоч і так, приміром, навскоси од твого тину, де стоїть стара груша, та до чагарника, - сказав кум і махнув пальцем навскоси на другий бік. - От і вози були б цілі.
kaydasheva_s000552|Добридень, моя дитино! Боже, поможи! — промовила Кайдашиха до Мотрі тоненьким голосом.|Добридень, моя дитино! Боже, поможи! - промовила Кайдашиха до Мотрі тоненьким голосом.
kaydasheva_s000553|Тим часом Довбишка звеліла дочці розкласти в челюстях трусок і спрягти яєчню. Мотря почала поратись коло печі. Хазяїн налив чарку перцівки.|Тим часом Довбишка звеліла дочці розкласти в челюстях трусок і спрягти яєчню. Мотря почала поратись коло печі. Хазяїн налив чарку перцівки.
kaydasheva_s000554|Вона гордо сиділа на своїй скрині, як цар на престолі.|Вона гордо сиділа на своїй скрині, як цар на престолі.
kaydasheva_s000555|Не мети до порога, бо візьму тебе за шию, як кішку, та натовчу мордою в сміття, щоб удруге так не робила, — сказала Мотря.|Не мети до порога, бо візьму тебе за шию, як кішку, та натовчу мордою в сміття, щоб удруге так не робила, - сказала Мотря.
kaydasheva_s000556|А хоч би й поясом, що тобі до того! Не буду мести твоєї половини сіней та виносить твого сміття, — сказала Мелашка.|А хоч би й поясом, що тобі до того! Не буду мести твоєї половини сіней та виносить твого сміття, - сказала Мелашка.
kaydasheva_s000557|Молодиці все сиділи одна проти другої, все шили й понашивали од злості таких безконечників, що потім прийшлось їм довго випорю-вать та розплутувати.|Молодиці все сиділи одна проти другої, все шили й понашивали од злості таких безконечників, що потім прийшлось їм довго випорю-вать та розплутувати.
kaydasheva_s000558|Пху на вас! — плюнув старий Кайдаш на розлитий борщ і пішов у повітку робити воза.|Пху на вас! - плюнув старий Кайдаш на розлитий борщ і пішов у повітку робити воза.
kaydasheva_s000559|Понесли люди мішками пашню в Беркову комору, а Берко тільки гладив бороду білою рукою, дивився, як п'яні мужики валялись під його шинком, та зараз-таки підняв скажену ціну на горілку в усіх шинках.|Понесли люди мішками пашню в Беркову комору, а Берко тільки гладив бороду білою рукою, дивився, як п'яні мужики валялись під його шинком, та зараз-таки підняв скажену ціну на горілку в усіх шинках.
kaydasheva_s000560|Овва! Гаращо розпустила своїх дітей, як зінських щенят. Не діждеш. — сказала Кайдашиха.|Овва! Гаращо розпустила своїх дітей, як зінських щенят. Не діждеш. - сказала Кайдашиха.
kaydasheva_s000561|Кайдашиха, недовго думавши, вхопила кочергу, Мелашка вхопила рогача та в Мотрину хату! Кайдашиха лупила кочергою горшки на полиці, Мелашка частувала миски рогачем на миснику.|Кайдашиха, недовго думавши, вхопила кочергу, Мелашка вхопила рогача та в Мотрину хату! Кайдашиха лупила кочергою горшки на полиці, Мелашка частувала миски рогачем на миснику.
kaydasheva_s000562|Геть, погана! Дай я сама переміряю з Мелашкою.|Геть, погана! Дай я сама переміряю з Мелашкою.
kaydasheva_s000563|а Лаврін ніби дивиться на неї ясними веселими очима та все говорить, мов соловейко щебече. Тихій та смирній дівчині йшла на душу пісня.|а Лаврін ніби дивиться на неї ясними веселими очима та все говорить, мов соловейко щебече. Тихій та смирній дівчині йшла на душу пісня.
kaydasheva_s000564|прокляту родом, і про вбиту жінку в бору.|прокляту родом, і про вбиту жінку в бору.
kaydasheva_s000565|Кайдаш оступився на кінець греблі і трохи не впав у воду. Він напружив свої сили, одскочив набік і опам'ятався.|Кайдаш оступився на кінець греблі і трохи не впав у воду. Він напружив свої сили, одскочив набік і опам'ятався.
kaydasheva_s000566|Греблі обсаджені столітніми вербами. В глибокому яру ніби в'ється оксамитовий зелений пояс, на котрому блищать ніби вправлені в зелену оправу прикраси з срібла.|Греблі обсаджені столітніми вербами. В глибокому яру ніби в'ється оксамитовий зелений пояс, на котрому блищать ніби вправлені в зелену оправу прикраси з срібла.
kaydasheva_s000567|Оце, господи! Чом та чом? — крикнула й собі Мотря. — Якби не той каторжний кнур, бодай він луснув, я б досі все діло поробила, — сказала Мотря, осміхаючись до стіни.|Оце, господи! Чом та чом? - крикнула й собі Мотря. - Якби не той каторжний кнур, бодай він луснув, я б досі все діло поробила, - сказала Мотря, осміхаючись до стіни.
kaydasheva_s000568|Мати твоя скрутила йому голову, ще й у свій борщ укинула. Піди та виколи своїй матері друге око!|Мати твоя скрутила йому голову, ще й у свій борщ укинула. Піди та виколи своїй матері друге око!
kaydasheva_s000569|Кайдаш обернувся од комина, коли гляне під стіл, під столом лежить здоровий, як кабан, та кудлатий чорт, з страшною чорною мордою, з рогами, з ротом до вух, з білими здоровими зубами.|Кайдаш обернувся од комина, коли гляне під стіл, під столом лежить здоровий, як кабан, та кудлатий чорт, з страшною чорною мордою, з рогами, з ротом до вух, з білими здоровими зубами.
kaydasheva_s000570|Кайдашиха наносила повнісіньку діжку води. Вода через верх полилась додолу.|Кайдашиха наносила повнісіньку діжку води. Вода через верх полилась додолу.
kaydasheva_s000571|Ну, невеличка поміч буде з такої невістки. Для неї ще б тільки на припічку кашу їсти, — думала Кайдашиха.|Ну, невеличка поміч буде з такої невістки. Для неї ще б тільки на припічку кашу їсти, - думала Кайдашиха.
kaydasheva_s000572|Авжеж є: а на левові сидить святий Самсон та щелепи йому роздирає. Як піймав його на Подолі коло Дніпра, як роздер щелепи, та й сам каменем став, і лев каменем став,|Авжеж є: а на левові сидить святий Самсон та щелепи йому роздирає. Як піймав його на Подолі коло Дніпра, як роздер щелепи, та й сам каменем став, і лев каменем став,
kaydasheva_s000573|Хто тебе знає, чи ти гордий, чи ти пишний, чи гордо несешся? Я не знаю, чи ти мене вірно любиш, чи з мене смієшся. Ще й слави на все село наробиш.|Хто тебе знає, чи ти гордий, чи ти пишний, чи гордо несешся? Я не знаю, чи ти мене вірно любиш, чи з мене смієшся. Ще й слави на все село наробиш.
kaydasheva_s000574|А справді ти, Параско, добре радиш, — сказала Кайдашиха, — ходім та присікаймось до тієї дурисвітки, може, вона знає, де Мелашка, та тільки не хоче признаватись.|А справді ти, Параско, добре радиш, - сказала Кайдашиха, - ходім та присікаймось до тієї дурисвітки, може, вона знає, де Мелашка, та тільки не хоче признаватись.
kaydasheva_s000575|Дражніть уже, дражніть, як ту собаку, — говорила Мотря і трохи не плакала от злості.|Дражніть уже, дражніть, як ту собаку, - говорила Мотря і трохи не плакала от злості.
kaydasheva_s000576|Не бійся, Мелашко, я тебе не покину! Післязавтра виходь на вулицю. Я прийду, хоч маю пропасти. Прощай, моя мила, краща од золота, краща од сонця, — сказав Лаврін і поцілував Мелашку,|Не бійся, Мелашко, я тебе не покину! Післязавтра виходь на вулицю. Я прийду, хоч маю пропасти. Прощай, моя мила, краща од золота, краща од сонця, - сказав Лаврін і поцілував Мелашку,
kaydasheva_s000577|Лаврін скочив у сіни і почав хитать драбину. Драбина стукала об стіну.|Лаврін скочив у сіни і почав хитать драбину. Драбина стукала об стіну.
kaydasheva_s000578|Мелашка слухала, і в неї робота випала з рук.|Мелашка слухала, і в неї робота випала з рук.
kaydasheva_s000579|прийшла до млина й сіла з ним над Россю на камені, обняла його й приголубила. Коли гляне вона на Рось, аж Лаврін пливе, потопає серед річки.|прийшла до млина й сіла з ним над Россю на камені, обняла його й приголубила. Коли гляне вона на Рось, аж Лаврін пливе, потопає серед річки.
kaydasheva_s000580|Ой, крикну! — думала Кайдашиха. — Ой, не видержу, заохаю! Оце сором! Ой, вилаю в батька матір і Лавріна, і цих поганих Балашів! — думала вона й мусила зуби зціпить,|Ой, крикну! - думала Кайдашиха. - Ой, не видержу, заохаю! Оце сором! Ой, вилаю в батька матір і Лавріна, і цих поганих Балашів! - думала вона й мусила зуби зціпить,
kaydasheva_s000581|Її очі з м'якеньких стали зразу тверденькі. Брови насупились, а осміх злетів з уст і ніби вилетів з хати.|Її очі з м'якеньких стали зразу тверденькі. Брови насупились, а осміх злетів з уст і ніби вилетів з хати.
kaydasheva_s000582|Лаврін задивився на неї й покинув запрягати другого вола. Дівчина прийшла до Росі, стала на плисковатому камені й почала мити ноги. Лаврін знехотя задивився на її чорні брови.|Лаврін задивився на неї й покинув запрягати другого вола. Дівчина прийшла до Росі, стала на плисковатому камені й почала мити ноги. Лаврін знехотя задивився на її чорні брови.
kaydasheva_s000583|Ой, буде, буде? — залепетала Кайдашиха. — Така гірка, як полин! Я не знаю, як ті п'яниці її п'ють.|Ой, буде, буде? - залепетала Кайдашиха. - Така гірка, як полин! Я не знаю, як ті п'яниці її п'ють.
kaydasheva_s000584|Тату, в Мотрі є чоловік, — сказав понуро Карпо. — ви не дуже на неї махайте кулаками.|Тату, в Мотрі є чоловік, - сказав понуро Карпо. - ви не дуже на неї махайте кулаками.
kaydasheva_s000585|Карпо навіть не одхилив голови й не кліпнув очима. Він тільки витріщив їх ще більше, так що вони стали зовсім круглі.|Карпо навіть не одхилив голови й не кліпнув очима. Він тільки витріщив їх ще більше, так що вони стали зовсім круглі.
kaydasheva_s000586|А до кого ж ти ходиш на вулицю?|А до кого ж ти ходиш на вулицю?
kaydasheva_s000587|Балашиха застелила стіл скатертею, поставила пляшку з горілкою. Балаш частував зятя, а Мелашка з матір'ю пішла в садок, жалілась на свекруху й свекра, виплакала всі сльози, що зібрались за всі жнива, і полила ними материн садок.|Балашиха застелила стіл скатертею, поставила пляшку з горілкою. Балаш частував зятя, а Мелашка з матір'ю пішла в садок, жалілась на свекруху й свекра, виплакала всі сльози, що зібрались за всі жнива, і полила ними материн садок.
kaydasheva_s000588|яка панія їде до вас у гості.|яка панія їде до вас у гості.
kaydasheva_s000589|Всі вечеряли мовчки. Мотря стала коло мисника, мов укопана. Вона не сіла вечерять.|Всі вечеряли мовчки. Мотря стала коло мисника, мов укопана. Вона не сіла вечерять.
kaydasheva_s000590|Кайдаш увійшов у хату. Кайдашиха засвітила лампу, думала, що він був у шинку і зараз почне коверзувати. А Кайдаш сів кінець стола, блідий, як смерть, і задумався.|Кайдаш увійшов у хату. Кайдашиха засвітила лампу, думала, що він був у шинку і зараз почне коверзувати. А Кайдаш сів кінець стола, блідий, як смерть, і задумався.
kaydasheva_s000591|Баба Палажка не послухала черниці. Вона гордовито одказала, що вже йде в Київ їсти двадцять першу паску й знає всі церкви й монастирі.|Баба Палажка не послухала черниці. Вона гордовито одказала, що вже йде в Київ їсти двадцять першу паску й знає всі церкви й монастирі.
kaydasheva_s000592|Мотря намагалась, щоб Карпо загородив такий тин, щоб і птиця через його не перелітала. Карпо мусив перегородить і двір, і город.|Мотря намагалась, щоб Карпо загородив такий тин, щоб і птиця через його не перелітала. Карпо мусив перегородить і двір, і город.
kaydasheva_s000593|Піду я з бабою до Києва та одговіюсь в Лаврі. Як не пустите мене, то я, здається, вмру, — сказала Мелашка.|Піду я з бабою до Києва та одговіюсь в Лаврі. Як не пустите мене, то я, здається, вмру, - сказала Мелашка.
kaydasheva_s000594|Тим часом на дзвіниці вдарили в усі дзвони. Всі люди, що сиділи коло церкви, повставали й почали хреститься.|Тим часом на дзвіниці вдарили в усі дзвони. Всі люди, що сиділи коло церкви, повставали й почали хреститься.
kaydasheva_s000595|На третій день різдва Мотря витягла з скрині нову спідницю, привезену од батька. Спідниця була дуже гарна та рясна, зелена з червоними густими рожами.|На третій день різдва Мотря витягла з скрині нову спідницю, привезену од батька. Спідниця була дуже гарна та рясна, зелена з червоними густими рожами.
kaydasheva_s000596|Люди розтали, як віск, і почали хвалити жида. Декотрі вже були зовсім п'яненькі.|Люди розтали, як віск, і почали хвалити жида. Декотрі вже були зовсім п'яненькі.
kaydasheva_s000597|А ти чого оступаєшся за своєю жінкою? — крикнув він на Карпа. — Коли хочеш, то я тобі носа втру.|А ти чого оступаєшся за своєю жінкою? - крикнув він на Карпа. - Коли хочеш, то я тобі носа втру.
kaydasheva_s000598|Чого це ти, Мотре, кричиш на матір? Мати тебе не наводить на злий розум, а на добрий, — обізвався Карпо.|Чого це ти, Мотре, кричиш на матір? Мати тебе не наводить на злий розум, а на добрий, - обізвався Карпо.
kaydasheva_s000599|Старий Кайдаш як стояв так і впав навзнак, аж ноги задер. Поламані шматки мотовила випали з його рук і вдарились об грубу.|Старий Кайдаш як стояв так і впав навзнак, аж ноги задер. Поламані шматки мотовила випали з його рук і вдарились об грубу.
kaydasheva_s000600|Кожної неділі просилась Мелашка в гості, i кожної неділі Кайдашиха знаходила для неї роботу. Мелашка зажурилась.|Кожної неділі просилась Мелашка в гості, i кожної неділі Кайдашиха знаходила для неї роботу. Мелашка зажурилась.
kaydasheva_s000601|Минув другий тиждень. Мелашка почала потроху привикати до нового місця: пекла проскури, ходила по церквах, по монастирях і вже сама добре не знала, чи вертаться чи не вертатись додому.|Минув другий тиждень. Мелашка почала потроху привикати до нового місця: пекла проскури, ходила по церквах, по монастирях і вже сама добре не знала, чи вертаться чи не вертатись додому.
kaydasheva_s000602|На Мелашку неначе повіяв тихий теплий вітер у літній день, такий спокій був розлитий в тих кімнатах. Вона викачувала проскури, а її думки літали в Семигорах, коло Лавріна.|На Мелашку неначе повіяв тихий теплий вітер у літній день, такий спокій був розлитий в тих кімнатах. Вона викачувала проскури, а її думки літали в Семигорах, коло Лавріна.
kaydasheva_s000603|ніби пустили вербове коріння.|ніби пустили вербове коріння.
kaydasheva_s000604|Мотря пішла у танець і повела за собою других дівчат. За дівчатами пішли в танець хлопці. Тільки Карпо стояв оддалеки, заклавши одну руку за пояс. Він не любив і не вмів танцювать.|Мотря пішла у танець і повела за собою других дівчат. За дівчатами пішли в танець хлопці. Тільки Карпо стояв оддалеки, заклавши одну руку за пояс. Він не любив і не вмів танцювать.
kaydasheva_s000605|Халяндри скакати.|Халяндри скакати.
kaydasheva_s000606|Мабуть, це Балашова хата, — говорила Кайдашиха.|Мабуть, це Балашова хата, - говорила Кайдашиха.
kaydasheva_s000607|Балашова. Її звуть Мелашкою.|Балашова. Її звуть Мелашкою.
kaydasheva_s000608|Та там такі робочі люди, що в нас у Семигорах і нема таких, — хвалив Лаврін, бо йому й справді Балаші здавались луччими од усіх людей на світі.|Та там такі робочі люди, що в нас у Семигорах і нема таких, - хвалив Лаврін, бо йому й справді Балаші здавались луччими од усіх людей на світі.
kaydasheva_s000609|Чи робоча ж вона? Чи має що за душею її батько?|Чи робоча ж вона? Чи має що за душею її батько?
kaydasheva_s000610|Мати задумалась: вона догадалась, який то був гарячий пісок.|Мати задумалась: вона догадалась, який то був гарячий пісок.
kaydasheva_s000611|Розумна Мотря й собі спідлоба поглядала на свекруху й постерегла той косий погляд.|Розумна Мотря й собі спідлоба поглядала на свекруху й постерегла той косий погляд.
kaydasheva_s000612|А хто ж мені помагає, коли хата й досі не заметена, — крикнула Мотря.|А хто ж мені помагає, коли хата й досі не заметена, - крикнула Мотря.
kaydasheva_s000613|Чи робоча ж твоя невістка? — спитала кума. — Чи тямить хоч трохи в хазяйстві?|Чи робоча ж твоя невістка? - спитала кума. - Чи тямить хоч трохи в хазяйстві?
kaydasheva_s000614|Полудрабок обшмульгав жовтий сап'янець і зробив смугу через усю халяву й передок.|Полудрабок обшмульгав жовтий сап'янець і зробив смугу через усю халяву й передок.
kaydasheva_s000615|Не чорна хмара з синього моря наступала, то виступала Мотря з Карпом з-за своєї хати до тину. Не сиза хмара над дібровою вставала, то наближалася до тину стара видроока Кайдашиха,|Не чорна хмара з синього моря наступала, то виступала Мотря з Карпом з-за своєї хати до тину. Не сиза хмара над дібровою вставала, то наближалася до тину стара видроока Кайдашиха,
